fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,density,sulphates,alcohol,quality,pH
7.7,0.63,0.08,1.9,0.076,0.9967,0.54,9.5,6,3.32
7.7,0.67,0.23,2.1,0.088,0.9962,0.48,9.5,5,3.32
7.7,0.69,0.22,1.9,0.084,0.9961,0.48,9.5,5,3.31
8.3,0.675,0.26,2.1,0.084,0.9976,0.53,9.2,4,3.31
9.7,0.32,0.54,2.5,0.094,0.9984,0.82,9.6,5,3.28
8.8,0.41,0.64,2.2,0.093,0.9986,0.66,10.5,5,3.54
8.8,0.41,0.64,2.2,0.093,0.9986,0.66,10.5,5,3.54
6.8,0.785,0,2.4,0.104,0.9966,0.55,10.7,6,3.52
6.7,0.75,0.12,2,0.086,0.9958,0.52,10.1,5,3.38
8.3,0.625,0.2,1.5,0.08,0.9972,1.12,9.1,4,3.16
6.2,0.45,0.2,1.6,0.069,0.9958,0.56,9.2,5,3.41
7.8,0.43,0.7,1.9,0.464,0.9974,1.28,9.4,5,3.13
7.4,0.5,0.47,2,0.086,0.997,0.57,9.1,5,3.36
7.3,0.67,0.26,1.8,0.401,0.9969,1.14,9.4,5,3.16
6.3,0.3,0.48,1.8,0.069,0.9959,0.78,10.3,6,3.44
6.9,0.55,0.15,2.2,0.076,0.9961,0.59,10.1,5,3.41
8.6,0.49,0.28,1.9,0.11,0.9972,1.95,9.9,6,2.93
7.7,0.49,0.26,1.9,0.062,0.9966,0.64,9.6,5,3.39
9.3,0.39,0.44,2.1,0.107,0.9978,1.22,9.5,5,3.14
7,0.62,0.08,1.8,0.076,0.9978,0.53,9,5,3.48
7.9,0.52,0.26,1.9,0.079,0.9964,0.54,9.5,5,3.23
8.6,0.49,0.28,1.9,0.11,0.9972,1.95,9.9,6,2.93
8.6,0.49,0.29,2,0.11,0.9972,1.98,9.8,5,2.93
7.7,0.49,0.26,1.9,0.062,0.9966,0.64,9.6,5,3.39
5,1.02,0.04,1.4,0.045,0.9938,0.48,10.5,4,3.75
4.7,0.6,0.17,2.3,0.058,0.9932,0.6,12.9,6,3.85
6.8,0.775,0,3,0.102,0.9965,0.56,10.7,5,3.45
7,0.5,0.25,2,0.07,0.9963,0.63,9.2,5,3.25
7.6,0.9,0.06,2.5,0.079,0.9967,0.56,9.8,5,3.39
8.1,0.545,0.18,1.9,0.08,0.9972,0.59,9,6,3.3
8.3,0.61,0.3,2.1,0.084,0.9972,0.61,10.2,6,3.4
7.8,0.5,0.3,1.9,0.075,0.9959,0.56,10.4,6,3.31
8.1,0.545,0.18,1.9,0.08,0.9972,0.59,9,6,3.3
8.1,0.575,0.22,2.1,0.077,0.9967,0.51,9.2,5,3.29
7.2,0.49,0.24,2.2,0.07,0.996,0.48,9.4,5,3.33
8.1,0.575,0.22,2.1,0.077,0.9967,0.51,9.2,5,3.29
7.8,0.41,0.68,1.7,0.467,0.9973,1.31,9.3,5,3.08
6.2,0.63,0.31,1.7,0.088,0.9969,0.79,9.3,5,3.46
8,0.33,0.53,2.5,0.091,0.9976,0.8,9.6,6,3.37
8.1,0.785,0.52,2,0.122,0.9969,0.69,9.3,5,3.21
7.8,0.56,0.19,1.8,0.104,0.9964,0.93,9.5,5,3.19
8.4,0.62,0.09,2.2,0.084,0.9964,0.66,9.8,5,3.15
8.4,0.6,0.1,2.2,0.085,0.9964,0.66,9.8,5,3.15
10.1,0.31,0.44,2.3,0.08,0.9988,0.67,9.7,6,3.32
7.8,0.56,0.19,1.8,0.104,0.9964,0.93,9.5,5,3.19
9.4,0.4,0.31,2.2,0.09,0.9966,0.63,10.5,6,3.07
8.3,0.54,0.28,1.9,0.077,0.9978,0.61,10,6,3.39
7.8,0.56,0.12,2,0.082,0.997,0.5,9.4,6,3.37
8.8,0.55,0.04,2.2,0.119,0.9962,0.6,10.9,6,3.21
7,0.69,0.08,1.8,0.097,0.9959,0.54,9.2,6,3.34
7.3,1.07,0.09,1.7,0.178,0.9962,0.57,9,5,3.3
8.8,0.55,0.04,2.2,0.119,0.9962,0.6,10.9,6,3.21
7.3,0.695,0,2.5,0.075,0.998,0.52,9.2,5,3.49
8,0.71,0,2.6,0.08,0.9976,0.53,9.5,5,3.44
7.8,0.5,0.17,1.6,0.082,0.996,0.48,9.5,5,3.39
9,0.62,0.04,1.9,0.146,0.9984,0.7,9.4,5,3.16
8.2,1.33,0,1.7,0.081,0.9964,0.49,10.9,5,3.53
8.1,1.33,0,1.8,0.082,0.9964,0.48,10.9,5,3.54
8,0.59,0.16,1.8,0.065,0.9962,0.92,10.5,7,3.42
6.1,0.38,0.15,1.8,0.072,0.9955,0.57,9.4,5,3.42
8,0.745,0.56,2,0.118,0.9968,0.66,9.4,5,3.24
5.6,0.5,0.09,2.3,0.049,0.9937,0.63,13,5,3.63
5.6,0.5,0.09,2.3,0.049,0.9937,0.63,13,5,3.63
6.6,0.5,0.01,1.5,0.06,0.9952,0.58,9.8,6,3.4
7.9,1.04,0.05,2.2,0.084,0.9959,0.55,9.9,6,3.22
8.4,0.745,0.11,1.9,0.09,0.9965,0.82,9.6,5,3.19
8.3,0.715,0.15,1.8,0.089,0.9968,0.77,9.5,5,3.23
7.2,0.415,0.36,2,0.081,0.9972,0.64,9.2,5,3.48
7.8,0.56,0.19,2.1,0.081,0.9962,0.54,9.5,5,3.33
7.8,0.56,0.19,2,0.081,0.9962,0.54,9.5,5,3.32
8.4,0.745,0.11,1.9,0.09,0.9965,0.82,9.6,5,3.19
8.3,0.715,0.15,1.8,0.089,0.9968,0.77,9.5,5,3.23
5.2,0.34,0,1.8,0.05,0.9916,0.79,14,6,3.68
6.3,0.39,0.08,1.7,0.066,0.9954,0.58,9.4,5,3.34
5.2,0.34,0,1.8,0.05,0.9916,0.79,14,6,3.68
8.1,0.67,0.55,1.8,0.117,0.9968,0.62,9.4,5,3.17
5.8,0.68,0.02,1.8,0.087,0.9944,0.52,10,5,3.54
7.6,0.49,0.26,1.6,0.236,0.9968,0.8,9.3,5,3.11
6.9,0.49,0.1,2.3,0.074,0.9959,0.58,10.2,6,3.42
8.2,0.4,0.44,2.8,0.089,0.9975,0.61,10.5,6,3.53
7.3,0.33,0.47,2.1,0.077,0.9958,0.53,10.3,6,3.33
9.2,0.52,1,3.4,0.61,0.9996,2,9.4,4,2.74
7.5,0.6,0.03,1.8,0.095,0.995,0.54,10.1,5,3.35
7.5,0.6,0.03,1.8,0.095,0.995,0.54,10.1,5,3.35
7.1,0.43,0.42,5.5,0.07,0.9973,0.72,10.5,5,3.42
7.1,0.43,0.42,5.5,0.071,0.9973,0.71,10.5,5,3.42
7.1,0.43,0.42,5.5,0.07,0.9973,0.72,10.5,5,3.42
7.1,0.43,0.42,5.5,0.071,0.9973,0.71,10.5,5,3.42
7.1,0.68,0,2.2,0.073,0.9969,0.5,9.3,5,3.48
6.8,0.6,0.18,1.9,0.079,0.9968,0.57,9.3,6,3.59
7.6,0.95,0.03,2,0.09,0.9959,0.56,9.6,5,3.2
7.6,0.68,0.02,1.3,0.072,0.9965,1.08,9.2,4,3.17
7.8,0.53,0.04,1.7,0.076,0.9964,0.56,10,6,3.33
7.4,0.6,0.26,7.3,0.07,0.9982,0.49,9.4,5,3.37
7.3,0.59,0.26,7.2,0.07,0.9981,0.49,9.4,5,3.37
7.8,0.63,0.48,1.7,0.1,0.9961,0.62,9.5,5,3.19
6.8,0.64,0.1,2.1,0.085,0.9956,0.52,10.2,5,3.34
7.3,0.55,0.03,1.6,0.072,0.9956,0.48,9,4,3.37
6.8,0.63,0.07,2.1,0.089,0.9953,0.55,10.4,6,3.47
7.5,0.705,0.24,1.8,0.36,0.9964,1.59,9.5,5,3
7.9,0.885,0.03,1.8,0.058,0.9972,0.33,9.1,4,3.36
8,0.42,0.17,2,0.073,0.9972,0.61,9.2,6,3.29
8,0.42,0.17,2,0.073,0.9972,0.61,9.2,6,3.29
7.4,0.62,0.05,1.9,0.068,0.9961,0.57,11.5,6,3.42
7.3,0.38,0.21,2,0.08,0.9961,0.47,9.5,5,3.33
6.9,0.5,0.04,1.5,0.085,0.9958,0.78,9.5,5,3.35
7.3,0.38,0.21,2,0.08,0.9961,0.47,9.5,5,3.33
7.5,0.52,0.42,2.3,0.087,0.9972,0.61,10.5,6,3.58
7,0.805,0,2.5,0.068,0.9969,0.56,9.6,5,3.48
8.8,0.61,0.14,2.4,0.067,0.9969,0.59,9.5,5,3.19
8.8,0.61,0.14,2.4,0.067,0.9969,0.59,9.5,5,3.19
8.9,0.61,0.49,2,0.27,0.9972,1.02,9.3,5,3.12
7.2,0.73,0.02,2.5,0.076,0.9972,0.52,9.3,5,3.44
6.8,0.61,0.2,1.8,0.077,0.9971,0.58,9.3,5,3.54
6.7,0.62,0.21,1.9,0.079,0.997,0.58,9.3,6,3.52
8.9,0.31,0.57,2,0.111,0.9971,0.53,9.7,5,3.26
7.4,0.39,0.48,2,0.082,0.9972,0.55,9.2,5,3.34
7.7,0.705,0.1,2.6,0.084,0.9976,0.49,9.7,5,3.39
7.9,0.5,0.33,2,0.084,0.9968,0.55,9.5,5,3.2
7.9,0.49,0.32,1.9,0.082,0.9968,0.55,9.5,5,3.2
8.2,0.5,0.35,2.9,0.077,0.9976,0.62,9.4,5,3.23
6.4,0.37,0.25,1.9,0.074,0.9974,0.62,9.8,6,3.57
6.8,0.63,0.12,3.8,0.099,0.9969,0.61,9.5,5,3.28
7.6,0.55,0.21,2.2,0.071,0.9964,0.55,9.7,5,3.28
7.6,0.55,0.21,2.2,0.071,0.9964,0.55,9.7,5,3.28
7.8,0.59,0.33,2,0.074,0.9968,0.54,9.4,5,3.25
7.3,0.58,0.3,2.4,0.074,0.9968,0.59,10.2,5,3.46
11.5,0.3,0.6,2,0.067,0.9981,0.97,10.1,6,3.11
5.4,0.835,0.08,1.2,0.046,0.9924,0.85,13,7,3.57
6.9,1.09,0.06,2.1,0.061,0.9948,0.43,11.4,4,3.51
